IMDB_ID,name,year,IMDB_rating,IMDB_url,BECHDEL_rating,RT_rating,RT_USER_rating,runtime,checktitle,source
317248,City of God,2002,8.7,http://www.imdb.com/title/tt0317248/,1,4,97,130,City of God,City.of.God.2002.720p.BluRay.DTS.x264.mkv
364569,Oldboy,2003,8.4,http://www.imdb.com/title/tt0364569/,1,4,94,120,Oldboy,Oldboy.2003.720p.BluRay.DTS-ES.x264-ESiR.mkv
242653,The Matrix Revolutions,2003,6.7,http://www.imdb.com/title/tt0242653/,3,3,61,129,The Matrix Revolutions,The.Matrix.Revolutions.2003.BluRay.480p.H264.mp4
234215,The Matrix Reloaded,2003,7.2,http://www.imdb.com/title/tt0234215/,3,3,72,138,The Matrix Reloaded,The.Matrix.Reloaded.2003.BluRay.480p.H264.mp4
324216,The Texas Chainsaw Massacre,2003,,http://www.imdb.com/title/tt0324216/,,,,,,The.Texas.Chainsaw.Massacre.2003.BluRay.480p.H264.mp4
167260,The Lord of the Rings The Return of the King,2003,8.9,http://www.imdb.com/title/tt0167260/,1,3,86,201,The Lord of the Rings: The Return of the King,The.Lord.of.the.Rings.The.Return.of.the.King.2003.BDRip.x264-DJ.mkv
335119,Girl with a Pearl Earring,2003,7,http://www.imdb.com/title/tt0335119/,3,3,68,100,Girl with a Pearl Earring,Girl.with.a.Pearl.Earring.2003.BluRay.720p.H264.mp4
338013,Eternal Sunshine of the Spotless Mind,2004,8.3,http://www.imdb.com/title/tt0338013/,2,4,94,108,Eternal Sunshine of the Spotless Mind,Eternal.Sunshine.of.the.Spotless.Mind.2004.DVDRip.x264-DJ.mkv
377092,Mean Girls,2004,7,http://www.imdb.com/title/tt0377092/,3,3,66,97,Mean Girls,Mean Girls (2004).mkv
378194,Kill Bill Vol 2,2004,8,http://www.imdb.com/title/tt0378194/,3,3,89,137,Kill Bill: Vol. 2,Kill.Bill.Vol.2.2004.iNTERNAL.720p.BluRay.x264-LiBRARiANS.mkv
476735,My Father and My Son,2005,,http://www.imdb.com/title/tt0476735/,,,,,,Babam ve Oglum 2005 Yerli 720p WEB-DL x264 AAC - HdT.mkv
